Average Metric: 38.00 / 50 (76.0%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 50/50 [00:10<00:00,  4.76it/s]
2025/03/27 14:45:42 INFO dspy.evaluate.evaluate: Average Metric: 38 / 50 (76.0%)
                                               demand  \
0   7.0 REQUIREMENTS FOR PIPE, FLANGES, FITTINGS A...   
1   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
2   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
3   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
4   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
5   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
6   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
7   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
8   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
9   7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
10  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
11  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
12  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
13  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
14  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
15  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
16  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
17  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
18  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
19  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
20  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
21  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
22  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
23  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
24  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
25  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
26  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
27  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
28  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
29  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
30  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
31  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
32  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
33  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
34  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
35  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
36  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
37  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
38  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
39  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
40  7.0 REQUIREMENTS OF SAWL PIPES FOR CARBON STEE...   
41  7.0 TECHNICAL REQUIREMENTS 7.10 PROTECTION OF ...   
42  7.0 TECHNICAL REQUIREMENTS 7.19 AUTOMATIC ULTR...   
43  7.0 TECHNICAL REQUIREMENTS 7.22 PIPE MANUFACTU...   
44  7.0 TECHNICAL REQUIREMENTS 7.22 PIPE MANUFACTU...   
45  7.0 TECHNICAL REQUIREMENTS 7.22 PIPE MANUFACTU...   
46  7.0 TECHNICAL REQUIREMENTS 7.28 WELDABILITY TE...   
47  7.0 TECHNICAL REQUIREMENTS 7.5 PIPE MANUFACTUR...   
48  7.0 TECHNICAL REQUIREMENTS 7.5 PIPE MANUFACTUR...   
49  7.0 TECHNICAL REQUIREMENTS 7.5 PIPE MANUFACTUR...   

                       keyword  \
0         Radiographic Testing   
1                      Packing   
2              Rust Prevention   
3                      Packing   
4         Radiographic Testing   
5   Chemical Composition Tests   
6                Tensile Tests   
7              Toughness Tests   
8    Magnetic Particle Testing   
9           Materials Except C   
10  Chemical Composition Tests   
11               Tensile Tests   
12                  Preheating   
13                  Bend Tests   
14        Radiographic Testing   
15              Hardness Tests   
16                  Preheating   
17  Chemical Composition Tests   
18           Design Dimensions   
19                 Bead Height   
20                 Circularity   
21                 Circularity   
22                      Length   
23                Straightness   
24                 Bevel Angle   
25                   Root Face   
26           Hydrostatic Tests   
27              Hardness Tests   
28        Radiographic Testing   
29   Magnetic Particle Testing   
30            Marking Location   
